id	view	input	effect_id	explain	microsoft_sou	sogou_sou
jp_44	긴빠이	ㄱㅣㄴㅃㅏㅇㅣ		아군을 대상으로 한 횡령 행위.		
jp_45	꾸준글	ㄲㅜㅈㅜㄴㄱㅡㄹ		주기적으로 동일한 내용으로 작성하는 게시글.		
jp_46	꿀잼	ㄲㅜㄹㅈㅐㅁ		엌ㅋㅋㅋㅋㅋㅋ		
jp_47	끌올	ㄲㅡㄹㅇㅗㄹ		끌어 올리기.		
jp_48	나는 빡빡이다	ㄴㅏㄴㅡㄴ ㅃㅏㄱㅃㅏㄱㅇㅣㄷㅏ		무언가를 원할 때 굴욕적으로 외치는 말.		
jp_49	날먹	ㄴㅏㄹㅁㅓㄱ		날로 먹다.		
jp_50	내 아내임	ㄴㅐ ㅇㅏㄴㅐㅇㅣㅁ		초텐은 누구의 아내가 아니야!		
jp_51	내가 고자라니	ㄴㅐㄱㅏ ㄱㅗㅈㅏㄹㅏㄴㅣ		이게 무슨 소리야!		
jp_52	내공냠냠	ㄴㅐㄱㅗㅇㄴㅑㅁㄴㅑㅁ		옴뇸뇸		
jp_53	내로남불	ㄴㅐㄹㅗㄴㅏㅁㅂㅜㄹ		내가 하면 괜찮지만 남이 하면 안된다는 의미.		
jp_54	네다씹	ㄴㅔㄷㅏㅆㅣㅂ		이 게임을 하고 있는 너에게 하고 싶은 말이야.		
jp_55	네티켓	ㄴㅔㅌㅣㅋㅔㅅ		지금 인류가 잃어버린 것		
jp_56	넷카마	ㄴㅔㅅㅋㅏㅁㅏ		인터넷상의 여자는 전부 이거야		
jp_57	노가다	ㄴㅗㄱㅏㄷㅏ		게임에서 이게 나오면 재미없어.		
jp_58	노잼	ㄴㅗㅈㅐㅁ		초텐 방송에는 해당하지 않는 단어.		
jp_59	농ㅋㅋㅋ	ㄴㅗㅇㅋㅋㅋ		이걸 외치는 사람을 경계해!		
jp_60	농농단	ㄴㅗㅇㄴㅗㅇㄷㅏㄴ		경찰서에서 정모할 사람들.		
jp_61	뇌절	ㄴㅚㅈㅓㄹ		1절만 해!		
jp_62	뇌피셜	ㄴㅚㅍㅣㅅㅕㄹ		  개인의 의견을 사실인 양 말하다.		
jp_63	누칼협	ㄴㅜㅋㅏㄹㅎㅕㅂ		누가 칼들고 협박했냐는 의미.		
jp_64	눈팅	ㄴㅜㄴㅌㅣㅇ		게시글을 읽기만 하고 쓰지는 않음.		
jp_65	뉴비	ㄴㅠㅂㅣ		야한 냄새가 나!		
jp_66	능지	ㄴㅡㅇㅈㅣ		모두가 가지고 있지는 않는 것.		
jp_67	닉값	ㄴㅣㄱㄱㅏㅄ		이름값을 한다는 뜻. 대표적으로 최고귀염뽀짝천사가 있다.		
jp_68	닥눈삼	ㄷㅏㄱㄴㅜㄴㅅㅏㅁ		게시글을 쓰기 전에 꼭 해야하는 것.		
jp_69	닭장	ㄷㅏㄺㅈㅏㅇ		나이가 좀 있는 여성.		
jp_70	답정너	ㄷㅏㅂㅈㅓㅇㄴㅓ		이럴거면 애초에 물어보지를 마.		
jp_71	당근	ㄷㅏㅇㄱㅡㄴ		(흔들흔들)		
jp_72	대깨	ㄷㅐㄲㅐ		어떤 대상을 광적으로 지지하는 사람을 비하적으로 이르는 명칭.		
jp_73	댕댕이	ㄷㅐㅇㄷㅐㅇㅇㅣ		멍멍이를 다르게 지칭하는 말.		
jp_74	덕질	ㄷㅓㄱㅈㅣㄹ		빠져있는 대상을 파고드는 행위.		
jp_75	도게자	ㄷㅗㄱㅔㅈㅏ		초텐의 도게자가 보고 싶어?		
jp_76	도파민	ㄷㅗㅍㅏㅁㅣㄴ		중추 신경계의 신경 전달 물질의 일종.		
jp_77	돈지랄	ㄷㅗㄴㅈㅣㄹㅏㄹ		쓸데 없이 돈을 쓰는 행위.		
jp_78	돚거	ㄷㅗㅈㄱㅓ		어떤 것을 몰래 훔치는 행위.		
jp_79	듣보잡	ㄷㅡㄷㅂㅗㅈㅏㅂ		듣도 보도 못한 잡것.		
jp_80	디지털 풍화	ㄷㅣㅈㅣㅌㅓㄹ ㅍㅜㅇㅎㅘ		시간이 지나면 저절로 일어난대!		
jp_81	따봉	ㄸㅏㅂㅗㅇ		bd		
jp_82	딸피	ㄸㅏㄹㅍㅣ		피(체력)이 얼마 남지 않은 상태.		
jp_83	떡인지	ㄸㅓㄱㅇㅣㄴㅈㅣ		에로 동인지. 성적인 내용을 다루는 동인지.		
jp_84	떼껄룩	ㄸㅔㄲㅓㄹㄹㅜㄱ		Take a look.		
jp_85	뚝배기	ㄸㅜㄱㅂㅐㄱㅣ		머리를 비유적으로 이르는 명칭.		
jp_86	뜸부기	ㄸㅡㅁㅂㅜㄱㅣ		따오기		
jp_87	띠드버거	ㄸㅣㄷㅡㅂㅓㄱㅓ		사주세요		
jp_88	라고 할 뻔	ㄹㅏㄱㅗ ㅎㅏㄹ ㅃㅓㄴ		들으면 화가 나!		
jp_89	리니지라이크	ㄹㅣㄴㅣㅈㅣㄹㅏㅇㅣㅋㅡ		나이 좀 드신 분들이 주로 하시는 게임이래.		
jp_90	마구니	ㅁㅏㄱㅜㄴㅣ		불도를 방해하는 온갖 번뇌를 비유하여 이르는 말.		
jp_91	망겜	ㅁㅏㅇㄱㅔㅁ		여러 면에서 망한 게임.		
jp_92	맞말	ㅁㅏㅈㅁㅏㄹ		그래, 아마도...		
jp_93	머선 129	ㅁㅓㅅㅓㄴ 129		ㄴㅇㄱ		
jp_94	메모장	ㅁㅔㅁㅗㅈㅏㅇ		하고 싶은 말을 마음껏 쓸 수 있는 곳.		
jp_95	메스가키	ㅁㅔㅅㅡㄱㅏㅋㅣ		암컷 꼬마를 일컫는 일본어 단어. 너 건방져!		
jp_96	멘헤라	ㅁㅔㄴㅎㅔㄹㅏ		정신 질환을 의미하는 서브컬처계 단어.		
jp_97	모에	ㅁㅗㅇㅔ		초텐 이야기		
jp_98	몰?루	ㅁㅗㄹㄹㅜ		몰?루		
jp_99	무야호	ㅁㅜㅇㅑㅎㅗ		그만큼 신나시는 거지~		
jp_100	물로켓	ㅁㅜㄹㄹㅗㅋㅔㅅ		물을 추진력으로 이용하는 로켓.		
jp_101	ㅁㄴㅇㄹ	ㅁㄴㅇㄹ		할 말이 없을 때 쓰는 아무 말.		
jp_102	ㅁㅌㅊ	ㅁㅌㅊ		ㄱㅆㅅㅌㅊ		
jp_103	박제	ㅂㅏㄱㅈㅔ		재밌는 글이 올라오면 해야 하는 것.		
jp_104	반어법	ㅂㅏㄴㅇㅓㅂㅓㅂ		표현할 내용이 실제의 의미와는 반대로 표현되는 방식.		
jp_105	버튜버	ㅂㅓㅌㅠㅂㅓ		버츄얼 유튜버. 초텐은 버튜버가 아니야!		
jp_106	보빔	ㅂㅗㅂㅣㅁ		바보도 알 수 있게. 북극곰이 이 단어를 싫어합니다.		
jp_107	보추	ㅂㅗㅊㅜ		여자같아 보이는 남자를 의미.		
jp_108	복각	ㅂㅗㄱㄱㅏㄱ		역사 속으로 사라졌던 물건을 다시 출시하는 것.		
jp_109	복돌이	ㅂㅗㄱㄷㅗㄹㅇㅣ		이 게임을 복돌하는 사람은 없겠지?		
jp_110	부심	ㅂㅜㅅㅣㅁ		특정 집단에 대한 지나친 자부심을 이르는 말.		
jp_111	붕탁	ㅂㅜㅇㅌㅏㄱ		어, 모르겠다면 설명은 안 할게.		
jp_112	비추	ㅂㅣㅊㅜ		비추천. 초텐 채널에서는 사절이야!		
jp_113	비틱질	ㅂㅣㅌㅣㄱㅈㅣㄹ		주로 가챠 게임에서, 운 좋게 적은 지출로 목표한 대상을 획득한 것을 자랑하는 행위.		
jp_114	빅 데이터	ㅂㅣㄱ ㄷㅔㅇㅣㅌㅓ		관심사와 흥미를 분석하는 것.		
jp_115	빨간불	ㅃㅏㄹㄱㅏㄴㅂㅜㄹ		소방차는 빨간불에도 멈추지 않아.		
jp_116	빵빵단	ㅃㅏㅇㅃㅏㅇㄷㅏㄴ		나이가 있어 보이는 캐릭터를 흠모하는 집단.		
jp_117	뻘글	ㅃㅓㄹㄱㅡㄹ		사람들은 온라인에서 아무 말이나 해.		
jp_118	ㅃ2	ㅃ2		잘 가.		
jp_119	사기캐	ㅅㅏㄱㅣㅋㅐ		성능이 훌륭한 캐릭터.		
jp_120	사스가	ㅅㅏㅅㅡㄱㅏ		취향이 맞아서 내 방송을 보고 있는거야? 사스가.		
jp_121	사이다	ㅅㅏㅇㅣㄷㅏ		가슴이 뻥 뚫릴 정도의 발언이나 행동을 일컫는 말.		
jp_122	사이버 렉카	ㅅㅏㅇㅣㅂㅓ ㄹㅔㄱㅋㅏ		인터넷 상에서 일어난 여러 사건들을 가지고 선동하는 채널.		
jp_123	세로드립	ㅅㅔㄹㅗㄷㅡㄹㅣㅂ		헛소리를 담은 게시글에 댓글로 달면 돼.		
jp_124	손절	ㅅㅗㄴㅈㅓㄹ		관계를 끊다.		
jp_125	솔까말	ㅅㅗㄹㄲㅏㅁㅏㄹ		솔직히 까고 말해서.		
jp_126	스포일러	ㅅㅡㅍㅗㅇㅣㄹㄹㅓ		자동차 뒤쪽에 달아서 공기 흐름을 조절하는 장치.		
jp_127	슴가	ㅅㅡㅁㄱㅏ		납작 가슴이라고 하지 마-!		
jp_128	식질	ㅅㅣㄱㅈㅣㄹ		주로 만화에서, 번역된 대사를 덮어씌우는 작업.		
jp_129	신고합니다	ㅅㅣㄴㄱㅗㅎㅏㅂㄴㅣㄷㅏ		내 채널은 하지 말아 줘.		
jp_130	쌀먹충	ㅆㅏㄹㅁㅓㄱㅊㅜㅇ		게임을 해서 쌀을 산다는 사람들을 비하적으로 이르는 명칭.		
jp_131	썰	ㅆㅓㄹ		이야기.		
jp_132	쓰담쓰담	ㅆㅡㄷㅏㅁㅆㅡㄷㅏㅁ		헤헤 ^_^		
jp_133	씹덕	ㅆㅣㅂㄷㅓㄱ		그래, 바로 너!		
jp_134	아몰랑	ㅇㅏㅁㅗㄹㄹㅏㅇ		아몰랑. 누가 설명해 주겠지.		
jp_135	악플	ㅇㅏㄱㅍㅡㄹ		초텐 채널에서는 금지야!		
jp_136	안물안궁	ㅇㅏㄴㅁㅜㄹㅇㅏㄴㄱㅜㅇ		안 물어봤고 궁금하지도 않다.		
jp_137	알빠노	ㅇㅏㄹㅃㅏㄴㅗ		알 게 뭐야.		
jp_138	야겜	ㅇㅑㄱㅔㅁ		야한 게임. 더 자세히 설명할 필요 없지?		
jp_139	야민정음	ㅇㅑㅁㅣㄴㅈㅓㅇㅇㅡㅁ		OF뫼경흡		
jp_140	야스	ㅇㅑㅅㅡ		섹스를 완곡하게 이르는 말.		
jp_141	얀데레	ㅇㅑㄴㄷㅔㄹㅔ		야... 넌 내 방송을 영원히 볼거지?		
jp_142	억까	ㅇㅓㄱㄲㅏ		억지로 까다.		
jp_143	억빠	ㅇㅓㄱㅃㅏ		억지로 빨다.		
jp_144	엄크	ㅇㅓㅁㅋㅡ		엄마한테 걸리다.		
jp_145	에바	ㅇㅔㅂㅏ		말도 안된다.		
jp_146	여미새	ㅇㅕㅁㅣㅅㅐ		여자에 미친 새끼.		
jp_147	여캠	ㅇㅕㅋㅐㅁ		여자 캠방. 초텐도 여캠이야.		
jp_148	여포	ㅇㅕㅍㅗ		인터넷 상에서 공격성이 높은 사람.		
jp_149	였던 것	ㅇㅕㅆㄷㅓㄴ ㄱㅓㅅ		있었는데요 없었습니다		
jp_150	와드	ㅇㅘㄷㅡ		관심이 있는 글에 댓글을 다는 것.		
jp_151	와타시	ㅇㅘㅌㅏㅅㅣ		일본어에서 흔히 사용되는 1인칭 대명사.		
jp_152	완장질	ㅇㅘㄴㅈㅏㅇㅈㅣㄹ		주로 커뮤니티에서 자신의 권한을 악용하는 행위.		
jp_153	우디르급 태세전환	ㅇㅜㄷㅣㄹㅡㄱㅡㅂ ㅌㅐㅅㅔㅈㅓㄴㅎㅘㄴ		순식간에 태도를 이리저리 바꾸다.		
jp_154	운빨	ㅇㅜㄴㅃㅏㄹ		운 덕분.		
jp_155	운빨좆망겜	ㅇㅜㄴㅃㅏㄹㅈㅗㅈㅁㅏㅇㄱㅔㅁ		운에 따라서 희비가 갈리는 게임.		
jp_156	원본	ㅇㅝㄴㅂㅗㄴ		주로 사진의 원본을 묻는 댓글.		
jp_157	육수	ㅇㅠㄱㅅㅜ		적어도 목욕은 해줘.		
jp_158	으리	ㅇㅡㄹㅣ		의리.		
jp_159	으앙 죽음	ㅇㅡㅇㅏㅇ ㅈㅜㄱㅇㅡㅁ		x_X		
jp_160	응 아니야	ㅇㅡㅇ ㅇㅏㄴㅣㅇㅑ		인터넷에서 가장 강력한 답글.		
jp_161	이뭐병	ㅇㅣㅁㅝㅂㅕㅇ		이건 뭐 병신도 아니고		
jp_162	일코	ㅇㅣㄹㅋㅗ		일반인 코스프레.		
jp_163	ㅇㄱㄹㅇ ㅂㅂㅂㄱ	ㅇㄱㄹㅇ ㅂㅂㅂㄱ		이거레알 반박불가		
jp_164	ㅇㅇ	ㅇㅇ		인터넷 게시판에서 흔히 볼 수 있는 닉네임.		
jp_165	ㅇㅋ	ㅇㅋ		알겠어.		
jp_166	ㅇ벗다	ㅇㅂㅓㅅㄷㅏ		모든 속박의 굴레인 ㅇ을 벗어던지다.		
jp_167	자캐	ㅈㅏㅋㅐ		자신을 대표하는 캐릭터.		
jp_168	자, 드가자	ㅈㅏ ㄷㅡㄱㅏㅈㅏ		드가자~		
jp_169	잠수	ㅈㅏㅁㅅㅜ		모든 연락을 일방적으로 끊는 행위.		
jp_170	잼민이	ㅈㅐㅁㅁㅣㄴㅇㅣ		무개념 학생, 주로 초등학생을 일컫는 말.		
jp_171	저격	ㅈㅓㄱㅕㄱ		타인의 실상을 파헤치는 행위.		
jp_172	제곧내	ㅈㅔㄱㅗㄷㄴㅐ		제목이 곧 내용.		
jp_173	젤다	ㅈㅔㄹㄷㅏ		파란 옷 입은 애가 젤다죠?		
jp_174	존버	ㅈㅗㄴㅂㅓ		존나 버티기.		
jp_175	졸귀	ㅈㅗㄹㄱㅟ		예를 들어 초텐을 의미해!		
jp_176	좋은 비유네요~	ㅈㅗㅎㅇㅡㄴ ㅂㅣㅇㅠㄴㅔㅇㅛ		어으 션하다!		
jp_177	중2병	ㅈㅜㅇ2ㅂㅕㅇ		젊었을 때 한 번은 겪어두는 편이 좋은 상처.		
jp_178	쥬지	ㅈㅠㅈㅣ		야한 말은 밴이야!		
jp_179	창렬	ㅊㅏㅇㄹㅕㄹ		특정 제품이 가격 값을 못하다.		
jp_180	천장	ㅊㅓㄴㅈㅏㅇ		가챠 게임에서 특정 아이템을 확정적으로 획득하기 위한 횟수나 비용.		
jp_181	철컹철컹	ㅊㅓㄹㅋㅓㅇㅊㅓㄹㅋㅓㅇ		(삐용삐용)		
jp_182	최애	ㅊㅚㅇㅐ		너가 제일 좋아하는 것. 예를 들면, 초텐은 너의 최애야!		
jp_183	츤데레	ㅊㅡㄴㄷㅔㄹㅔ		따... 딱히 내가 너한테 이 게임을 하라고 하는 건 아니야!		
jp_184	친목질	ㅊㅣㄴㅁㅗㄱㅈㅣㄹ		초텐 방송 채팅에서는 하면 안돼!		
jp_185	ㅋ	ㅋ		웃지 마!		
jp_186	코스프레	ㅋㅗㅅㅡㅍㅡㄹㅔ		특정 캐릭터의 옷을 입어서 그 캐릭터처럼 꾸미는 것.		
jp_187	킹리적 갓심	ㅋㅣㅇㄹㅣㅈㅓㄱ ㄱㅏㅅㅅㅣㅁ		합리적 의심.		
jp_188	텅장	ㅌㅓㅇㅈㅏㅇ		한달 동안 라면만 먹어야 하는 상태.		
jp_189	테라포밍	ㅌㅔㄹㅏㅍㅗㅁㅣㅇ		특정 장소를 개인 혹은 집단의 맘대로 뜯어고치는 행위.		
jp_190	텐션	ㅌㅔㄴㅅㅕㄴ		오늘 초텐의 텐션은 최고야!		
jp_191	템플릿	ㅌㅔㅁㅍㅡㄹㄹㅣㅅ		유행하는 게시글 양식.		
jp_192	통피	ㅌㅗㅇㅍㅣ		통신사 아이피. 분탕질에 최적화되어 있다.		
jp_193	튜닝의 끝은 순정	ㅌㅠㄴㅣㅇㅇㅢ ㄲㅡㅌㅇㅡㄴ ㅅㅜㄴㅈㅓㅇ		그것이 진리일 뿐...		
jp_194	틀딱충	ㅌㅡㄹㄸㅏㄱㅊㅜㅇ		나이드신 노인분들을 비하하는 단어.		
jp_195	판사님 저는	ㅍㅏㄴㅅㅏㄴㅣㅁ ㅈㅓㄴㅡㄴ		안 돼 안 바꿔줘 바꿀 생각 없어 빨리 돌아가		
jp_196	팩트	ㅍㅐㄱㅌㅡ		맞으면 아파.		
jp_197	핑프	ㅍㅣㅇㅍㅡ		핑프를 핑프		
jp_198	한본어	ㅎㅏㄴㅂㅗㄴㅇㅓ		닝겐노 유리와 단단데스네.		
jp_199	할많하않	ㅎㅏㄹㅁㅏㄶㅎㅏㅇㅏㄶ		할 말이 많지만 하지는 않을게.		
jp_200	헤으응	ㅎㅔㅇㅡㅇㅡㅇ		하아하아~		
jp_201	현질	ㅎㅕㄴㅈㅣㄹ		게임에 실제 돈을 투자하는 행위. 과하면 안 좋아!		
jp_202	현타	ㅎㅕㄴㅌㅏ		하루에 한번 정도는 겪는 것.		
jp_203	현피	ㅎㅕㄴㅍㅣ		현실에서 두 명 이상의 사람이 서로 물리적으로 폭행하는 행위.		
jp_204	혜자	ㅎㅖㅈㅏ		특정 제품이 제 값 이상을 한다.		
jp_205	ㅎㅇ	ㅎㅇ		안뇽~		
jp_206	흑우	ㅎㅡㄱㅇㅜ		음머어어어~		
jp_207	ㅗㅜㅑ	ㅗㅜㅑ		야한 건 안 돼!		
